"x","y","Station_ID","Avg_NO3","X500m.Aspect_fine.tif","X500m.Elevation.tif","X500m.GDP_PT_2010.tif","X500m.PopDensity.tif","X500m.Slope_fine.tif","X500m.SOC_PT.tif","X500m.soil_pH_fine.tif","X500m.SoilTexture_fine.tif","X500m.MaxTemp_WarmMonth.tif","X500m.Mean_diurnal_range.tif","X500m.MinTemp_ColdMonth.tif","X500m.Precipitation_ColdQuarter.tif","X500m.Precipitation_DryMonth.tif","X500m.Precipitation_DryQuarter.tif","X500m.Precipitation_sum.tif","X500m.Precipitation_WarmQuarter.tif","X500m.Precipitation_WetMonth.tif","X500m.Precipitation_WetQuarter.tif","X500m.Srad_avg.tif","X500m.Tavg_avg.tif","X500m.Tmax_avg.tif","X500m.Tmin_avg.tif","Distance_dams","Distance_ocean","Distance_rivers","Distance_urban","MRB_roads","Agri_Natural.tif","Agriculture_naturalVeg.tif","AgroForestry.tif","Annuals_permanents.tif","CLC_PT2012.tif","Complex_patterns.tif","crop_ssnb.tif","et0.tif","forest.tif","FRAC_leaching.tif","FRAC_runoff.tif","Fruit_trees.tif","grass_ssnb.tif","heterogeneous.tif","Natural_grasslands.tif","Non_irrigated.tif","Olive_groves.tif","Pastures.tif","Permanently_irrigated.tif","prec.tif","Rice.tif","Total_leaching_X2010.tif","urban.tif","Vineyards.tif","Water_bodies.tif","wetlands.tif","Actual_permeability.tif","Bulk_density_30cm.tif","DepthImpermeable.tif","Different_aquifer_systs.tif","Dist_to_rivers.tif","DomParentMaterial1.tif","DomParentMaterial2.tif","DomParentMaterial3.tif","DomTexture.tif","Field_capacity_30cm.tif","FieldCapacity.tif","FRAC_clay_30cm.tif","FRAC_sand_30cm.tif","GW_bodies.tif","HydroGeo.tif","HydroGeo_ParMaterial.tif","ks_fao_octop.tif","porosity.tif","Potential_permeability.tif","rast_recharge_gw.tif","Runoff_flow_direction.tif","SecParentMaterial.tif","Slope.tif","SubBS.tif","SubCEC.tif","SubMineralogy.tif","subsurface_DomTexture.tif","surface_DomTexture.tif","ths_fao_octop.tif","TopBS.tif","TopCEC.tif","TopMineralogy.tif","TopOC.tif","water_table.tif","MRB_agri_animal_prod_.tif","MRB_agri_chemical.tif","MRB_agri_processing.tif","MRB_feed_prod.tif","MRB_other_industry.tif","MRB_pig_production.tif","MRB_poultry_production.tif","MRB_slaughters.tif","MRB_wwtp.tif","geometry"
188589,546548,"17/N1",2,3.50289916992188,526.080078125,781,0.00305645656771958,6.85257863998413,4.96000051498413,60,3,23.2585773468018,9.15165042877197,0.739051103591919,572.193908691406,25.8535575866699,124.70711517334,1488.13232421875,138.707122802734,206,572.730834960938,14080.1240234375,12.4765701293945,17.0495853424072,7.90212106704712,0.400000005960464,51414.21484375,0.400000005960464,5535.99609375,0.400000005960464,0,0,0,0,324,0,0,975.047912597656,1,0,0,0,0,0,0,0,0,0,0,1284.3798828125,0,0,0,0,0,0,2.00000238418579,158.905166625977,1,2,1414.21362304688,3,31,311,2,15,0.361806511878967,21.1355953216553,56.3210105895996,5,5,5,0.762117147445679,0.00999999977648258,3,1,3.09426522254944,4,6.53318691253662,2,2,2,1,2,0.443680316209793,2,1,2,3,28.1552467346191,0,0,0,0,0,0,0,0,0,c(2815885.22254773, 2270655.03182558)
178843,564242,"3/N1",4.75,3.69184446334839,42.0000076293945,243,0.646337926387787,4.01261854171753,6.59999942779541,53.3600006103516,3,24.8689498901367,10.0073280334473,2.90052819252014,517.9326171875,25.3157863616943,120.315788269043,1365.08068847656,138.311614990234,202.319961547852,533.622131347656,13907.7177734375,14.5905904769897,19.5870265960693,9.58308219909668,0.100000001490116,35470.5625,1,2914.40161132812,0.400000005960464,0,0,0,1,241,0,0,987.155700683594,0,0,0,0,0,0,0,0,0,0,0,1303.49438476562,0,0,1,0,0,0,4.00000095367432,144.897888183594,1,2,0,3,31,311,2,16.2915325164795,0.361806511878967,21.7299289703369,52.7197723388672,1,5,5,1.70312333106995,0.00999999977648258,3.99999976158142,7,74.305778503418,4,4.72317314147949,2,2,2,1,2,0.461813151836395,2,1,2,3,24.3458156585693,0,0,0,0,0,0,0,0,0,c(2810346.91020569, 2290254.25194099)
175569,485329,"98/N1",42.9,3.51182270050049,436.199859619141,491,0.156732559204102,4.42947816848755,8.07999992370605,53.5600051879883,3,24.3999996185303,9.51666641235352,2.40000009536743,582,21,106,1406,114,204,582,14657.4169921875,13.625,18.375,8.85833358764648,0.100000001490116,26500,0.520000040531158,1707.21423339844,0.600000023841858,0,0,0,0,334,0,0,1101.51745605469,1,0,0,0,0,0,0,0,0,0,0,1229.40014648438,0,0,0,0,0,0,3.00000023841858,127.696762084961,1,2,0,3,31,311,2,15.312427520752,0.361806511878967,17.4682102203369,54.0671272277832,53,5,5,0.987314224243164,0.00999999977648258,3.00000023841858,7.5,62.4979858398438,4,4.69496536254883,2,2,2,1,2,0.441591769456863,2,1,2,3,39.5490684509277,0,0,0,0,2500,0,0,0,2500.6806640625,c(2789736.17689499, 2214067.67561228)
143472,521820,"40/N3",39.2,3.53694033622742,3.52001047134399,855,0.152986750006676,1.54210782051086,5.52000045776367,58.6399993896484,3,22.9928321838379,7.63927698135376,6.30000019073486,584.286743164062,27,113,1445.1318359375,147,221.071685791016,599.143371582031,14473.818359375,14.5044889450073,18.3211574554443,10.6816864013672,0.100000001490116,1414.21362304688,0.400000005960464,1207.208984375,1,0,0,0,0,212,0,-26,1042.69787597656,0,0.300000011920929,0.00600000005215406,0,0,0,0,0,0,0,1,1287.52868652344,0,0,0,0,0,0,4.99999856948853,131.794219970703,1,2,0,5,51,510,1,17.2626438140869,0.198853060603142,26.1419105529785,40.0878372192383,5,6,3,1.78224515914917,0.120857998728752,4.99999856948853,0.99099737405777,9.06518459320068,5,2.08316469192505,2,2,2,1,1,0.415717780590057,2,2,2,4,8.84431838989258,0,0,0,0,5000,0,0,0,0,c(2766627.86943695, 2257376.13359005)
139375,528625,"40/1",24.95,4.87648773193359,3.00001335144043,1715,3.46724343299866,1.07292902469635,5.07999992370605,64.1600036621094,3,22.7000007629395,7.16160488128662,6.54509210586548,581.1962890625,28,115.774536132812,1447.92053222656,149.774536132812,218.549072265625,594.647216796875,14386.21875,14.5200510025024,18.104455947876,10.9484348297119,0.100000001490116,1000,0.400000005960464,500.048706054688,1,0,0,0,0,243,0,-26,1043.37060546875,0,0.349999994039536,0,0,0,0,0,0,0,0,1,1259.69470214844,0,0,0,0,0,0,200,151.639602661133,1,2,0,5,51,510,1,16.019702911377,0.198850005865097,27.3066062927246,39.0901985168457,1,6,3,1.7694228887558,0.193039268255234,4.99999952316284,5.9049186706543,8.97501087188721,5,2.19820094108582,2,2,2,1,1,0.42949378490448,2,2,2,4,19.5066242218018,0,0,0,0,5000,0,0,0,0,c(2764158.34749485, 2265001.54051191)
150939,547697,"14/N1",5.2,4.12115335464478,372.839965820312,156,0.0374824665486813,6.47590255737305,7.76000022888184,53.6399955749512,2.99438858032227,22.8999996185303,7.88333320617676,4.09999990463257,656,31,130,1626,158,236,656,14182.8330078125,13.7583332061768,17.6916656494141,9.80833339691162,0.100000001490116,13000,0.600000023841858,5207.4033203125,0.400000005960464,0,0,0,0,311,0,0,1039.14526367188,1,0,0,0,0,0,0,0,0,0,0,1250.73876953125,0,0,0,0,0,0,2.00000238418579,127.032165527344,1,2,0,3.0275354385376,31.3028907775879,314.001373291016,2,14.4306020736694,0.361806511878967,20.1626415252686,55.3719482421875,1,5,5,1.24527490139008,0.00999999977648258,3.0000011920929,7,13.0830278396606,3.88985800743103,6.35537672042847,2,2,2,1.02753555774689,2,0.452202886343002,2,1,2,3,58.2394981384277,0,0,0,0,10000,0,0,0,0,c(2779602.47248999, 2280823.83957229)
162493,503742,"69/N1",18.35,2.60422921180725,64.6799697875977,157,1.24524664878845,4.62114667892456,5.03999853134155,56.8800048828125,3,23.921257019043,9.48757743835449,3.59786105155945,618.233947753906,24,111.255348205566,1508.93530273438,134.978607177734,228.21257019043,622.701843261719,14442.3525390625,14.1902351379395,18.9136180877686,9.44089221954346,0.100000001490116,17000,0.400000005960464,2500.134765625,0.671999990940094,0,0,0,1,212,0,61,1072.97290039062,0,0.273299992084503,0.0649999976158142,0,0,1,0,0,0,0,0,1241.70764160156,0,16.6712989807129,0,0,0,0,2.0000011920929,142.15364074707,1,2,500,3.32164096832275,34.5380516052246,346.058868408203,2,16.8198833465576,0.361806511878967,21.1590709686279,54.0106964111328,54,5,5,1.68200886249542,0.00999999977648258,2.0000011920929,7.5,39.7687721252441,2.71343564987183,4.47069025039673,2,2,2,1.32164108753204,2,0.46401035785675,2,1,2,3,24.0893058776855,0,0,0,0,5034.12548828125,0,0,5000,10000,c(2781095.91151688, 2235166.51567226)
181542,516192,"56/N1",2,3.29056668281555,31.3200244903564,480,0.192020490765572,3.72943520545959,5.55999851226807,54.7600059509277,3,25.5292263031006,10.5183382034302,2.72922658920288,564.169067382812,22,109.292266845703,1406.31616210938,128,216.292266845703,576.876770019531,14310.841796875,14.5945158004761,19.8559112548828,9.34155941009521,0.100000001490116,37500,1,1707.21423339844,0.600000023841858,1,1,0,0,243,0,0,1053.25183105469,0,0.540000021457672,0.0790000036358833,0,555.200012207031,0,0,0,0,0,0,1251.49206542969,0,298.890014648438,0,0,0,0,3.99999690055847,146.736221313477,1,2,0,3,31,311,2,15.5657234191895,0.361806511878967,22.4960060119629,50.1313285827637,54,5,5,1.27258634567261,0.00999999977648258,2.9999988079071,7.5,10.9453868865967,4,3.70438504219055,2,2,2,1,2,0.45067510008812,2,1,2,3,18.0742034912109,0,0,0,0,2580.96704101562,0,0,0,10000,c(2802335.52878066, 2242737.0250572)
224514,204220,"424/124",52,3.76166892051697,234.559997558594,125,0.00124806177336723,1.55471861362457,2,60.0400009155273,2.07555937767029,28.2699203491211,11.8695135116577,2.13007950782776,259.650390625,5,33,643,41,99,272.349609375,16835.751953125,16.072566986084,22.0050182342529,10.1347332000732,0.200000002980232,100698.484375,0.400000005960464,3121.53491210938,0.800000011920929,0,0,0,0,211,0,-32,1383.83764648438,0,0.227500006556511,0,0,0,0,0,1,0,0,0,719.051818847656,0,0,0,0,0,0,3,161.920516967773,1.83317089080811,2,0,3,31,312.666351318359,1.83317089080811,19.2033176422119,0.361806511878967,19.4271602630615,56.4623870849609,85,3.66634178161621,5,1.04729497432709,0.00999999977648258,3,9,20.8438968658447,0,1.6255054473877,2,1.16682910919189,2,3.49951267242432,1.83317089080811,0.43450590968132,1,2,6.16585445404053,4,9.52420330047607,0,0,0,0,0,10000,0,0,0,c(2776552.48001415, 1928371.48482664)
146750,503630,"68/1",2,3.32877779006958,8.87999629974365,390,0.0414095371961594,1.00050222873688,4.95999908447266,59.2000045776367,3,23,7.875,6.19999980926514,585,23,106,1419,130,215,588,14573.5830078125,14.5333337783813,18.466667175293,10.5916662216187,0.100000001490116,1500,0.600000023841858,1000.05395507812,0.648000001907349,0,0,0,0,313,0,41,1068.77026367188,0,0.25,0,0,0,0,0,0,0,0,1,1235.45324707031,0,10.25,0,0,0,0,5,132.844314575195,1,2,0,4.90388965606689,50.1350059509277,501.350067138672,1.09611022472382,17.2638206481934,0.2106102257967,22.8146705627441,45.8551902770996,52,5.90388965606689,3.19222044944763,1.4806135892868,0.196838334202766,5,7.49409246444702,5.43552541732788,4.51944875717163,1.07433307170868,2,2,2,1.09611022472382,1.09611022472382,0.489591956138611,2,1.90388977527618,2,3.90388965606689,3.77102851867676,0,0,0,0,5000,0,0,0,0,c(2765790.45297298, 2238842.11521875)
