"x","y","Station_ID","Avg_NO3","X500m.Aspect_fine.tif","X500m.Elevation.tif","X500m.GDP_PT_2010.tif","X500m.PopDensity.tif","X500m.Slope_fine.tif","X500m.SOC_PT.tif","X500m.soil_pH_fine.tif","X500m.SoilTexture_fine.tif","X500m.MaxTemp_WarmMonth.tif","X500m.Mean_diurnal_range.tif","X500m.MinTemp_ColdMonth.tif","X500m.Precipitation_ColdQuarter.tif","X500m.Precipitation_DryMonth.tif","X500m.Precipitation_DryQuarter.tif","X500m.Precipitation_sum.tif","X500m.Precipitation_WarmQuarter.tif","X500m.Precipitation_WetMonth.tif","X500m.Precipitation_WetQuarter.tif","X500m.Srad_avg.tif","X500m.Tavg_avg.tif","X500m.Tmax_avg.tif","X500m.Tmin_avg.tif","Distance_dams","Distance_ocean","Distance_rivers","Distance_urban","MRB_roads","Agri_Natural.tif","Agriculture_naturalVeg.tif","AgroForestry.tif","Annuals_permanents.tif","CLC_PT2000.tif","Complex_patterns.tif","crop_ssnb.tif","et0.tif","forest.tif","FRAC_leaching.tif","FRAC_runoff.tif","Fruit_trees.tif","grass_ssnb.tif","heterogeneous.tif","Natural_grasslands.tif","Non_irrigated.tif","Olive_groves.tif","Pastures.tif","Permanently_irrigated.tif","prec.tif","Rice.tif","Total_leaching_X2001.tif","urban.tif","Vineyards.tif","Water_bodies.tif","wetlands.tif","Actual_permeability.tif","Bulk_density_30cm.tif","DepthImpermeable.tif","Different_aquifer_systs.tif","Dist_to_rivers.tif","DomParentMaterial1.tif","DomParentMaterial2.tif","DomParentMaterial3.tif","DomTexture.tif","Field_capacity_30cm.tif","FieldCapacity.tif","FRAC_clay_30cm.tif","FRAC_sand_30cm.tif","GW_bodies.tif","HydroGeo.tif","HydroGeo_ParMaterial.tif","ks_fao_octop.tif","porosity.tif","Potential_permeability.tif","rast_recharge_gw.tif","Runoff_flow_direction.tif","SecParentMaterial.tif","Slope.tif","SubBS.tif","SubCEC.tif","SubMineralogy.tif","subsurface_DomTexture.tif","surface_DomTexture.tif","ths_fao_octop.tif","TopBS.tif","TopCEC.tif","TopMineralogy.tif","TopOC.tif","water_table.tif","MRB_agri_animal_prod_.tif","MRB_agri_chemical.tif","MRB_agri_processing.tif","MRB_feed_prod.tif","MRB_other_industry.tif","MRB_pig_production.tif","MRB_poultry_production.tif","MRB_slaughters.tif","MRB_wwtp.tif","RF_GW_2004_0.79","RF_GW_2005_0.79","RF_GW_2006_0.8","RF_GW_2007_0.79","RF_GW_2008_0.78","RF_GW_2009_0.79","RF_GW_2010_0.83","RF_GW_2011_0.72","RF_GW_2012_0.74","RF_GW_2013_0.82","RF_GW_2014_0.75","RF_GW_2015_0.8","RF_GW_2016_0.79","RF_GW_2017_0.83","geometry"
139375,528625,"40/1",14.3,4.87648773193359,3.00001335144043,1715,3.46724343299866,1.07292902469635,5.07999992370605,64.1600036621094,3,22.7000007629395,7.16160488128662,6.54509210586548,581.1962890625,28,115.774536132812,1447.92053222656,149.774536132812,218.549072265625,594.647216796875,14386.21875,14.5200510025024,18.104455947876,10.9484348297119,0.100000001490116,1000,0.400000005960464,500.048706054688,1,0,0,0,0,212,0,23,921.935424804688,0,0.25,0,0,0,0,0,0,0,0,1,1504.62072753906,0,5.75,0,0,0,0,200,151.639602661133,1,2,0,5,51,510,1,16.019702911377,0.198850005865097,27.3066062927246,39.0901985168457,1,6,3,1.7694228887558,0.193039268255234,4.99999952316284,5.9049186706543,8.97501087188721,5,2.19820094108582,2,2,2,1,1,0.42949378490448,2,2,2,4,19.5066242218018,0,0,0,0,5000,0,0,0,0,63.5024528503418,51.3122329711914,22.6488742828369,40.5036468505859,42.8253288269043,41.6552581787109,39.265682220459,31.9039039611816,33.8653907775879,29.1535911560059,29.107723236084,29.4974555969238,32.4094848632812,36.3629875183105,c(2764158.34749485, 2265001.54051191)
224514,204220,"424/124",58.85,3.76166892051697,234.559997558594,125,0.00124806177336723,1.55471861362457,2,60.0400009155273,2.07555937767029,28.2699203491211,11.8695135116577,2.13007950782776,259.650390625,5,33,643,41,99,272.349609375,16835.751953125,16.072566986084,22.0050182342529,10.1347332000732,0.200000002980232,100698.484375,0.400000005960464,3121.53491210938,0.800000011920929,0,0,0,0,211,0,-21,1347.36486816406,0,0.227500006556511,0,0,0,0,0,1,0,0,0,575.717529296875,0,0,0,0,0,0,3,161.920516967773,1.83317089080811,2,0,3,31,312.666351318359,1.83317089080811,19.2033176422119,0.361806511878967,19.4271602630615,56.4623870849609,85,3.66634178161621,5,1.04729497432709,0.00999999977648258,3,9,20.8438968658447,0,1.6255054473877,2,1.16682910919189,2,3.49951267242432,1.83317089080811,0.43450590968132,1,2,6.16585445404053,4,9.52420330047607,0,0,0,0,0,10000,0,0,0,48.7666358947754,40.8281555175781,43.825366973877,48.4113159179688,60.1636428833008,53.5783348083496,51.8754806518555,52.0635414123535,55.4416542053223,56.2686424255371,61.9991416931152,50.185848236084,47.9054565429688,58.9055023193359,c(2776552.48001415, 1928371.48482664)
146750,503630,"68/1",7.7,3.32877779006958,8.87999629974365,390,0.0414095371961594,1.00050222873688,4.95999908447266,59.2000045776367,3,23,7.875,6.19999980926514,585,23,106,1419,130,215,588,14573.5830078125,14.5333337783813,18.466667175293,10.5916662216187,0.100000001490116,1500,0.600000023841858,1000.05395507812,0.648000001907349,0,0,0,0,313,0,0,958.515625,1,0,0,0,0,0,0,0,0,0,0,1408.1650390625,0,0,0,0,0,0,5,132.844314575195,1,2,0,4.90388965606689,50.1350059509277,501.350067138672,1.09611022472382,17.2638206481934,0.2106102257967,22.8146705627441,45.8551902770996,52,5.90388965606689,3.19222044944763,1.4806135892868,0.196838334202766,5,7.49409246444702,5.43552541732788,4.51944875717163,1.07433307170868,2,2,2,1.09611022472382,1.09611022472382,0.489591956138611,2,1.90388977527618,2,3.90388965606689,3.77102851867676,0,0,0,0,5000,0,0,0,0,16.8495292663574,53.5204429626465,36.8395080566406,25.0981864929199,26.6271533966064,33.4392166137695,23.9762954711914,17.4718818664551,24.4456920623779,17.8438835144043,18.3117771148682,18.6235618591309,25.8564586639404,32.1819267272949,c(2765790.45297298, 2238842.11521875)
147750,503380,"68/2",53,3.6053364276886,10.6799983978271,794,0.0271344725042582,1,2.32000136375427,67.9199905395508,3,23.0894908905029,8.0087833404541,6.01051044464111,586.684692382812,23,106,1424.80114746094,130,215.789794921875,590.57958984375,14558.5517578125,14.5183229446411,18.5216865539551,10.5124750137329,0.100000001490116,2414.21362304688,0.600000023841858,1207.18725585938,1,0,0,0,1,241,0,184,959.860778808594,0,0.25,0,0,0,1,0,0,0,0,0,1403.33532714844,0,46,0,0,0,0,5.00024557113647,141.568862915039,1,2,1000,4.66411161422729,47.9770050048828,479.77001953125,1.33588850498199,17.1980972290039,0.240935683250427,23.888090133667,42.9346008300781,52,5.66411161422729,3.67177724838257,1.56580448150635,0.108628965914249,4.99999523162842,7.5,21.5978126525879,3.32055711746216,1.02878952026367,2,2,2,1.33588850498199,1.33588850498199,0.458215981721878,2,1.66411149501801,2,3.66411137580872,3.71701693534851,0,0,0,0,5000,0,0,0,10000,48.0372467041016,83.0920562744141,69.6417999267578,72.6904754638672,45.9891357421875,55.7972030639648,49.2838363647461,44.5184593200684,44.9171867370605,41.4202880859375,41.0959968566895,42.0559616088867,47.2384262084961,58.0377578735352,c(2766705.81888351, 2238357.66770226)
147850,503263,"68/2A",19.25,4.91577196121216,10.0800008773804,794,4.48071908950806,1,2.20000028610229,68.3199996948242,3,23,7.94166660308838,6.09999990463257,584,23,106,1423,130,214,587,14556,14.533332824707,18.4916667938232,10.5500001907349,0.100000001490116,2207.10668945312,0.600000023841858,1414.32055664062,1,0,0,0,1,112,0,184,961.000122070312,0,0.25,0,0,0,1,0,0,0,0,0,1399.05541992188,0,46,0,0,0,0,3.00000214576721,145.695617675781,1,2,1000,4.73392963409424,48.6053657531738,486.053649902344,1.26607036590576,17.8019027709961,0.240255117416382,23.9561729431152,42.9903869628906,52,5.73392963409424,3.53214073181152,1.58949410915375,0.104040078818798,3.00000214576721,7.5,12.0064239501953,3.66964793205261,1.01078283786774,2,2,2,1.26607036590576,1.26607036590576,0.437907993793488,2,1.73392963409424,2,3.73392963409424,3.23346614837646,0,0,0,0,5000,0,0,0,10000,40.5287780761719,55.1198539733887,57.6227989196777,50.9267463684082,42.0329551696777,42.317310333252,63.9280891418457,39.1134376525879,57.0757827758789,43.1911277770996,52.7987594604492,60.3149719238281,56.628604888916,74.8505706787109,c(2766777.05548824, 2238219.47736704)
146790,502780,"68/4",41.2,4.51376056671143,5.84000253677368,2549,0.0196356363594532,1.00004148483276,2.68000078201294,67.8000030517578,3,23,7.82499980926514,6.19999980926514,582,23,106,1417,130,213,584,14548.3330078125,14.5333337783813,18.4500007629395,10.625,0.100000001490116,1207.10681152344,0.560000002384186,707.160278320312,0.600000023841858,0,0,0,0,241,0,184,960.817199707031,0,0.25,0,0,0,0,0,0,0,0,1,1399.78149414062,0,46,0,0,0,0,4.99999952316284,141.371826171875,1,2,0,4.98732471466064,50.8859252929688,508.859252929688,1.01267516613007,16.5070838928223,0.199268087744713,24.9917984008789,41.4508857727051,52,5.98732471466064,3.02535033226013,1.73445224761963,0.16634601354599,4.99999952316284,7.45594549179077,5.05207967758179,4.93662452697754,1.02472054958344,2,2,2,1.01267516613007,1.01267516613007,0.430578261613846,2,1.98732483386993,2,3.98732495307922,1.93995916843414,0,0,0,0,5000,0,0,0,0,57.421932220459,79.4949951171875,98.7477188110352,75.4810409545898,74.4005508422852,74.6251068115234,62.2948913574219,52.3271331787109,62.1862716674805,36.0120964050293,38.7499656677246,43.4637794494629,44.6975288391113,56.3143501281738,c(2765641.70312384, 2238003.30488766)
146430,502480,"68/6",7.8,4.03973150253296,5.76000022888184,3409,1.67690527439117,1,2.92000150680542,66.7599945068359,2.88749647140503,22.9772777557373,7.78334283828735,6.24544382095337,581.772766113281,23,106,1415.1171875,130,213,583.772766113281,14549.9248046875,14.5333337783813,18.4275875091553,10.6518964767456,0.100000001490116,707.106811523438,0.456000000238419,500.026977539062,0.600000023841858,0,0,0,0,242,1,184,960.718322753906,0,0.259999990463257,0,0,0,1,0,0,0,0,0,1400.2509765625,0,47.8400001525879,0,0,0,0,5,135.534072875977,1,2,0,5,51,510,1,16.745189666748,0.198850005865097,24.2759914398193,42.713809967041,52,6,3,1.72957718372345,0.188455820083618,5,6.53037452697754,3.42186427116394,5,1.20316660404205,2,2,2,1,1,0.43529736995697,2,2,2,4,2.15850925445557,0,0,0,0,5000,0,0,0,0,35.0563659667969,47.718448638916,58.4359664916992,38.7611465454102,39.1097831726074,34.1595802307129,29.6463527679443,25.8116836547852,31.4839916229248,23.0956249237061,39.6556129455566,28.0720329284668,48.1264381408691,41.5952491760254,c(2765226.11320735, 2237797.25907383)
147220,500450,"68/8",41.2,4.96059560775757,10.0799989700317,124,0.0167822185903788,1,3.51999950408936,64.1999969482422,3,23,7.9045991897583,6.09999990463257,583.558471679688,23,104.889617919922,1415.16247558594,128,212.779235839844,583.558471679688,14577.474609375,14.4784898757935,18.4451580047607,10.5407943725586,0.100000001490116,1414.21362304688,0.392000019550323,1500.08093261719,0.656000018119812,0,0,0,0,313,0,0,965.194885253906,1,0,0,0,0,0,0,0,0,0,0,1381.68835449219,0,0,0,0,0,0,4.99999952316284,136.664627075195,1,2,0,5,51,510,1,16.7412910461426,0.198853075504303,24.7780227661133,41.5329093933105,52,6,3,1.7208411693573,0.187494158744812,4.99999809265137,7.48901224136353,15.3453645706177,5,1.02577710151672,2,2,2,1,1,0.396977216005325,2,2,2,4,3.3591411113739,0,0,0,0,10000,0,0,0,0,30.9335308074951,76.1140594482422,112.818511962891,65.5792770385742,65.1514511108398,72.5082397460938,65.9864654541016,44.233341217041,63.7923164367676,35.2481079101562,42.1706809997559,54.6029663085938,71.6430358886719,82.8358383178711,c(2765544.96754038, 2235626.9244182)
147970,500450,"68/9",37.05,4.45933723449707,10.1199998855591,289,2.81530976295471,1.00017118453979,2.55999898910522,66.1200103759766,3,23.0771026611328,8.02313137054443,5.94579553604126,585.355834960938,23,104.974723815918,1420.49743652344,128,213.635360717773,586.041748046875,14575.2529296875,14.4801139831543,18.4797172546387,10.4630479812622,0.100000001490116,1914.21362304688,0.400000005960464,1707.21423339844,0.840000033378601,1,1,0,0,243,0,0,965.322692871094,0,0.5,0,0,-11970,0,0,0,0,0,0,1380.89990234375,0,0,0,0,0,0,4.00000047683716,136.340835571289,1,2,0,5,51,510,1,17.0328617095947,0.19885915517807,26.4271240234375,40.5076065063477,52,6,3,1.77227354049683,0.163509130477905,3.00000214576721,7.49635982513428,35.5269470214844,5,1.00853967666626,2,2,2,1,1,0.39836710691452,2,2,2,4,4.32594871520996,0,0,0,10000,10000,0,0,0,0,60.3313598632812,59.065315246582,61.9911880493164,69.6653823852539,83.6366271972656,101.961250305176,63.3424911499023,51.0678787231445,72.8146743774414,51.7809524536133,63.0757713317871,77.9555053710938,48.8771095275879,74.9001312255859,c(2766272.89350041, 2235446.51364691)
148830,502720,"68/5",76.45,4.91542816162109,13.7600011825562,1299,0.132270067930222,1.00207090377808,2.75999975204468,67.3199996948242,2.99693965911865,23.1000003814697,8.26310443878174,5.69999980926514,591.893127441406,23,107,1439.494140625,130.893142700195,216.893142700195,594.786254882812,14556.0546875,14.4574899673462,18.5824909210205,10.3191957473755,0.100000001490116,3000,0.568000018596649,707.160278320312,0.840000033378601,0,0,0,1,241,0,184,962.221496582031,0,0.25,0,0,0,1,0,0,0,0,0,1394.4619140625,0,46,0,0,0,0,2.0002498626709,143.055511474609,1,2,1118.03393554688,4.19808673858643,43.7827835083008,437.827819824219,1.80191314220428,17.9285182952881,0.332136273384094,24.3242321014404,41.1430473327637,52,5.19808673858643,4.60382652282715,1.26177310943604,0.0694677904248238,1.99999964237213,7.5,16,0.990434229373932,1.16249012947083,2,2,2,1.80191314220428,1.80191314220428,0.467820346355438,2,1.19808685779572,2,3.19808673858643,6.7639627456665,0,0,0,0,5160.26513671875,0,0,0,10000,65.8664779663086,84.6773223876953,99.5993957519531,102.704711914062,81.9915771484375,104.385871887207,96.0095901489258,49.5566101074219,92.6931610107422,84.9083480834961,86.7693252563477,91.525764465332,89.5100631713867,84.4429016113281,c(2767608.38527465, 2237454.04424971)
