"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",9.9,6,9.9,7.2,11.1,9.9,9.9,9.3,11.1,11.1,11.1,11.1,9.3,7.5,5.4,9.9,9,9,9,14.7,9.9,9.9,9.9,9.9,12.3,12.3,12.3,12.3,12.3,12.3,12.3
1602,"1111602","Caminha",21.3,13.5,21.3,15.9,24.3,21.3,13.5,12.9,15,0.9,0.9,0.9,0.9,0.9,0.6,1.2,1.8,1.8,1.8,4.8,3,3,3,3,3.9,3.9,3.9,3.9,3.9,3.9,3.9
1603,"1111603","Melgaço",20.1,12.6,20.1,15.3,22.5,20.1,16.8,15.6,18.9,12.9,12.9,12.9,10.5,8.4,6.3,11.1,9,9,9,12.3,7.8,7.8,7.8,7.8,9.9,9.9,9.9,9.9,9.9,9.9,9.9
1604,"1111604","Monção",13.2,8.4,13.2,9.9,14.7,13.2,8.1,7.5,9.3,0,0,0,0,0,0,0,2.4,2.4,2.4,8.4,5.4,5.4,5.4,5.4,6.9,6.9,6.9,6.9,6.9,6.9,6.9
1605,"1111605","Paredes de Coura",7.5,4.8,7.5,5.7,8.7,7.5,5.7,5.4,6.3,3.3,3.3,3.3,2.7,2.4,1.8,3,3.6,3.6,3.6,7.2,4.8,4.8,4.8,4.8,6.3,6.3,6.3,6.3,6.3,6.3,6.3
1606,"1111606","Ponte da Barca",16.2,10.2,16.2,12.3,18.3,16.2,12,11.1,13.2,5.4,5.4,5.4,4.5,3.6,2.7,4.8,4.2,4.2,4.2,5.4,3.6,3.6,3.6,3.6,4.8,4.8,4.8,4.8,4.8,4.8,4.8
1607,"1111607","Ponte de Lima",184.2,115.2,184.2,138,207.3,184.2,163.8,153.3,183.9,147,147,147,122.7,98.1,73.5,130.8,96.6,96.6,96.6,94.2,63,63,63,63,78.6,78.6,78.6,78.6,78.6,78.6,78.6
1608,"1111608","Valença",2.7,1.8,2.7,2.1,3,2.7,11.7,11.1,13.2,29.4,29.4,29.4,24.3,19.2,14.7,25.8,30,30,30,57,37.8,37.8,37.8,37.8,47.4,47.4,47.4,47.4,47.4,47.4,47.4
1609,"1111609","Viana do Castelo",57.6,36,57.6,43.2,64.8,57.6,43.5,40.8,49.2,23.7,23.7,23.7,19.8,15.6,12,20.7,14.7,14.7,14.7,12.9,8.4,8.4,8.4,8.4,10.8,10.8,10.8,10.8,10.8,10.8,10.8
1610,"1111610","Vila Nova de Cerveira",3.9,2.4,3.9,3,4.5,3.9,2.7,2.7,3.3,0.9,0.9,0.9,0.9,0.9,0.6,1.2,1.8,1.8,1.8,3.6,2.4,2.4,2.4,2.4,3,3,3,3,3,3,3
301,"1120301","Amares",45.6,28.5,45.6,34.2,51.3,45.6,84.9,79.5,95.4,165.6,165.6,165.6,138,110.7,83.1,147.6,127.8,127.8,127.8,170.7,114,114,114,114,142.5,142.5,142.5,142.5,142.5,142.5,142.5
302,"1120302","Barcelos",51,31.8,51,38.4,57.6,51,44.7,42.3,50.4,39,39,39,32.7,26.1,19.8,34.8,22.2,22.2,22.2,12.3,7.8,7.8,7.8,7.8,9.9,9.9,9.9,9.9,9.9,9.9,9.9
303,"1120303","Braga",53.4,33.3,53.4,40.2,60.3,53.4,51.3,48.3,57.9,54.3,54.3,54.3,45,35.7,27,47.7,30.6,30.6,30.6,17.1,11.7,11.7,11.7,11.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
306,"1120306","Esposende",27,16.8,27,20.1,30.3,27,22.5,21,25.8,18.3,18.3,18.3,15,12,9.3,15.9,10.5,10.5,10.5,5.4,3.6,3.6,3.6,3.6,4.8,4.8,4.8,4.8,4.8,4.8,4.8
310,"1120310","Terras de Bouro",33.3,20.7,33.3,25.2,37.5,33.3,32.4,30.3,36.6,35.4,35.4,35.4,29.4,23.4,17.4,31.2,20.1,20.1,20.1,12.9,8.4,8.4,8.4,8.4,10.8,10.8,10.8,10.8,10.8,10.8,10.8
313,"1120313","Vila Verde",138,86.4,138,103.5,155.1,138,165.9,155.7,186.9,237,237,237,197.4,157.8,118.5,210.6,151.2,151.2,151.2,134.1,89.4,89.4,89.4,89.4,111.6,111.6,111.6,111.6,111.6,111.6,111.6
307,"1130307","Fafe",21,13.2,21,15.9,24,21,19.8,18.9,22.5,20.1,20.1,20.1,17.1,13.8,10.2,18.3,17.1,17.1,17.1,27,17.7,17.7,17.7,17.7,22.2,22.2,22.2,22.2,22.2,22.2,22.2
308,"1130308","Guimarães",78.3,48.9,78.3,58.8,88.2,78.3,73.8,69.3,83.1,74.7,74.7,74.7,62.4,50.1,37.5,66.6,44.7,44.7,44.7,31.2,20.7,20.7,20.7,20.7,26.1,26.1,26.1,26.1,26.1,26.1,26.1
309,"1130309","Póvoa de Lanhoso",75,46.8,75,56.4,84.6,75,51.6,48.3,57.9,15.9,15.9,15.9,13.2,10.5,7.8,14.1,20.7,20.7,20.7,45.9,30.6,30.6,30.6,30.6,38.4,38.4,38.4,38.4,38.4,38.4,38.4
1314,"1131314","Santo Tirso",71.7,44.7,71.7,54,80.4,71.7,57,53.4,63.9,37.5,37.5,37.5,31.2,24.6,18.9,33,26.4,26.4,26.4,30.6,20.1,20.1,20.1,20.1,25.2,25.2,25.2,25.2,25.2,25.2,25.2
1318,"1131318","Trofa",0,0,0,0,0,0,8.7,7.8,9.6,24.6,24.6,24.6,20.7,16.5,12.3,22.2,12.3,12.3,12.3,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
311,"1130311","Vieira do Minho",43.8,27.3,43.8,32.7,49.2,43.8,33.6,31.2,37.5,19.2,19.2,19.2,15.9,12.9,9.6,17.1,12.9,12.9,12.9,13.5,9,9,9,9,11.4,11.4,11.4,11.4,11.4,11.4,11.4
312,"1130312","Vila Nova de Famalicão",34.8,21.6,34.8,26.4,39.3,34.8,35.1,33,39.6,40.5,40.5,40.5,33.6,26.7,20.1,35.4,105.3,105.3,105.3,301.8,201.3,201.3,201.3,201.3,251.7,251.7,251.7,251.7,251.7,251.7,251.7
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",23.4,14.7,23.4,17.4,26.4,23.4,17.4,16.5,19.8,9.3,9.3,9.3,7.8,6.3,4.5,8.4,4.8,4.8,4.8,1.8,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1306,"1141306","Maia",21.3,13.5,21.3,15.9,24.3,21.3,14.1,13.2,15.9,2.7,2.7,2.7,2.4,1.8,1.2,2.4,1.8,1.8,1.8,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1308,"1141308","Matosinhos",6.9,4.2,6.9,5.1,8.1,6.9,6.9,6.9,8.4,8.4,8.4,8.4,6.9,5.4,4.2,7.2,6,6,6,7.2,4.8,4.8,4.8,4.8,6.3,6.3,6.3,6.3,6.3,6.3,6.3
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",109.2,68.1,109.2,81.9,123,109.2,148.2,138.6,166.5,236.4,236.4,236.4,196.8,157.5,117.9,210,150.6,150.6,150.6,132.9,88.8,88.8,88.8,88.8,111,111,111,111,111,111,111
1315,"1141315","Valongo",31.2,19.5,31.2,23.4,35.1,31.2,20.1,18.9,22.5,2.7,2.7,2.7,2.4,1.8,1.2,2.4,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",60.3,37.5,60.3,45.3,67.8,60.3,63,59.1,71.1,76.2,76.2,76.2,63.3,50.4,38.1,67.2,36.6,36.6,36.6,1.8,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1317,"1141317","Vila Nova de Gaia",47.7,30,47.7,35.7,54,47.7,37.2,34.8,42.3,23.7,23.7,23.7,19.8,15.6,12,20.7,17.1,17.1,17.1,20.7,14.1,14.1,14.1,14.1,17.7,17.7,17.7,17.7,17.7,17.7,17.7
1301,"1151301","Amarante",107.7,67.2,107.7,80.7,121.2,107.7,153,143.1,172.2,253.5,253.5,253.5,211.2,168.9,126.6,225.3,125.4,125.4,125.4,17.1,11.7,11.7,11.7,11.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
1302,"1151302","Baião",27,16.8,27,20.1,30.3,27,19.2,18.3,21.9,8.4,8.4,8.4,6.9,5.4,4.2,7.2,4.8,4.8,4.8,3.6,2.4,2.4,2.4,2.4,3,3,3,3,3,3,3
