"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",22.8,24.1,22.8,27,25.3,24.8,18.3,16.1,16.8,17.5,15.3,1.6,9.8,6.7,1.2,8.2,3.5,3.9,3.6,2.1,1.7,0.7,2.9,2,2.7,1.9,1.1,0.6,5.9,0.7,9.7
1602,"1111602","Caminha",0.4,1.1,0.2,2.6,2.5,4,4.2,5,6.6,9.7,11,3.1,11.3,7.6,2.5,7.8,3.6,3.8,3.2,1.9,1.4,0.7,1.4,1,1.3,1,0.6,0.5,2.9,0.5,4.7
1603,"1111603","Melgaço",33.9,35.3,34.1,38,32.9,30.3,19.6,15.4,13,10.4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",21.2,22.6,21.1,24.6,21.6,20.1,10.8,8.8,7.5,8.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",2.2,3.7,2.4,4.1,3.7,3.5,1,1.4,1.5,3.8,2.8,0,1.6,2.1,0.4,5.6,3.2,4.5,5.2,4.6,4.7,4,8.8,7,7.7,6.2,4.9,4.4,14.1,4.4,21.8
1606,"1111606","Ponte da Barca",31.7,32.4,31.6,35.4,31.6,29.5,22.9,18.3,17.3,15.4,11.6,1.3,2.8,2,0.3,2.8,1.2,1.5,1.4,1,0.9,0.5,1.6,1.2,1.5,1.1,0.7,0.6,3.2,0.6,5.3
1607,"1111607","Ponte de Lima",167.4,169.1,169.5,166.3,164.1,158.7,157.7,150.8,143.5,134.1,130.5,146,296.6,304.8,115.5,320,166.4,179,164.8,123.4,103,74.1,120.8,97.8,104,85.6,68.7,66.6,187.7,63.1,156.7
1608,"1111608","Valença",23.7,24,23.8,26.6,24.7,24.3,16,13.7,13.5,10.7,8.6,0,3.5,2.1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",126,130.3,126.2,148.5,142.2,143.7,120.1,107.6,114.2,118.5,112.2,29.7,85.8,57.3,19.3,57.3,27.7,28.6,24.9,17.1,12.8,7.3,11.9,9.3,10.6,8.4,6.2,5.3,20.4,5.5,32.2
1610,"1111610","Vila Nova de Cerveira",21,21.5,21.2,23,20.6,19.3,13.9,10.9,9.8,7.8,4.8,0.1,0,0.3,0.2,2.8,2,3,3.8,3.5,3.7,3.3,6.9,5.6,6,4.9,3.9,3.8,10.9,3.7,9.9
301,"1120301","Amares",120.3,120.3,120.5,122.9,123.1,125.4,224.3,197.1,172.7,242,231.6,90.8,304.5,206.9,72.9,214.3,100.3,106.6,93.5,51.7,38.7,18.8,44.9,32.1,42.1,32.1,21,13.6,91.1,17.5,147.9
302,"1120302","Barcelos",209.2,207.5,210.4,203.6,198.5,191.9,198.4,188.9,180.9,183.2,176.9,52.9,139,96.6,35.3,104.1,54.5,59.8,56.1,43.1,36.8,26.3,45.9,37,39.4,32.9,26.3,24.3,71.4,24.2,108
303,"1120303","Braga",121.2,120.8,121.2,116.1,113.2,109,96.1,91.4,86.8,75.8,73.7,70.8,172.4,141.1,54.8,151.1,80,88,81.2,63,53.6,40,65.6,53.4,56.7,46.9,37.9,36.9,85.4,35,62.4
306,"1120306","Esposende",30.7,32.9,31.1,37.8,35.7,36.3,30.2,27.8,29.9,32.2,30.9,7.5,24.1,15.8,4.8,15.2,7.1,7.1,5.8,3.8,2.4,1,1.4,1,1.2,0.9,0.5,0.4,3,0.4,4.9
310,"1120310","Terras de Bouro",15.1,16.7,14.9,19.9,18.5,19.2,14.9,14.8,16.5,17.8,18,2.1,15.1,11.6,3.6,16.6,9.1,11.3,11.4,9.7,9.1,7.3,14.8,11.8,13,10.4,8.4,7.9,23.7,7.5,35.8
313,"1120313","Vila Verde",132.1,132.4,134.3,132.3,129.9,128.2,106,100.8,93.9,79.6,78.1,31.9,124.7,85.5,25.9,93.6,45.9,51.1,46.8,34.4,28.4,18.7,36.4,28.2,31.5,25,19.3,17.3,61.4,17.2,93.5
307,"1130307","Fafe",49.8,51.6,49.8,56.3,50.4,47.4,34.5,27.9,26.3,23.4,17.1,0,3.5,2.4,0,4.3,1,1.4,1.3,0,0,0,1.2,0.5,1.4,0.8,0.1,0,4.5,0,8.1
308,"1130308","Guimarães",263.6,270.4,264.3,297.9,274.6,266.6,211.1,178.9,177.6,165.5,140.7,29.3,76.9,52.1,17,55.6,28,30,27.1,21.7,17.7,12.1,20.6,16.5,17.9,14.5,11.4,10.7,33,10.3,50
309,"1130309","Póvoa de Lanhoso",45.1,48.6,45,58.8,57.4,62.1,56.3,53.9,55.6,45.8,44.4,21,65.4,44.2,16.2,45,21.6,23.1,20.2,11.7,8.7,4.8,9.7,7.2,8.8,6.7,4.7,3.7,18.3,4,29.1
1314,"1131314","Santo Tirso",236.7,240.8,237.3,270.2,251.9,247.9,145.7,137.1,131.2,34.4,33.6,41.1,64,65.1,26.1,67.8,36.4,38.9,34.9,24.4,19.8,13.1,21.6,17.4,19.2,15.5,12,11,23.1,10.9,18
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",54.5,54.5,56.7,56.1,55.7,54.1,39.3,31.4,29.6,27.5,19.8,0,2.8,1.5,0,3,0.4,0.5,0.1,0,0,0,0.1,0,0.3,0,0,0,2.2,0,4.1
312,"1130312","Vila Nova de Famalicão",113.8,113.8,114.1,109.4,107,102.1,91,87.9,83.5,74.1,72.7,42.7,97.5,65.9,23.4,65.6,16.2,17,12,0,0,0,0,0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0.8,1.5,2.1,2.1,1.9,1.8,1.7,1.6,2.8,4,4.2,2.1,4.5,2.4,2.3,1.8,1.1,0.6,0.2,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",51.2,51.6,51.8,50.1,48.3,46.2,36.1,35.1,33.3,27.3,26.3,19.2,50.7,33.4,11.6,32.2,15.8,15.7,13.1,9.3,6.6,3.7,4.4,3.5,3.9,3.2,2.5,2.3,7,2.2,10.7
1306,"1141306","Maia",34.7,34.9,35,34.2,33.2,32,28,27.1,25.7,22.2,21.2,9.6,19.9,13.5,5,13.8,7,7.4,6.7,4.9,3.9,2.7,4.3,3.4,3.7,3,2.4,2.3,6.7,2.2,10.1
1308,"1141308","Matosinhos",13.7,14.3,13.7,16.4,16,16.8,14,12.9,14.2,13.6,13.3,3.9,12.6,8.8,3.2,9.7,5,5.6,5.3,4,3.4,2.5,4.5,3.6,3.9,3.2,2.6,2.3,7.2,2.2,8.3
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",11.1,16.5,10.6,19.4,12.1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",26.7,27.8,26.3,31.5,28.7,28.8,23.9,21.5,22.1,23.5,21.7,5.5,15.2,10.2,3.5,10.1,5.1,5.2,4.4,3.4,2.6,1.7,2.3,1.8,2,1.6,1.3,1.3,3.6,1.3,5.4
1316,"1141316","Vila do Conde",60.1,60,60.2,59.8,59.8,59.7,55.7,45.1,41.8,35.9,25.1,0,2.1,0.6,0,2.2,0.3,0.2,0,2,1.4,0.6,1.4,1,1.3,1,0.5,0.4,3,0.5,5
1317,"1141317","Vila Nova de Gaia",72.4,72.2,72.4,69.6,67.3,64.7,45.6,44,42.3,27.4,26.6,16.9,43,29.8,10.8,31.5,16.2,17.7,16.4,12.4,10.3,7.4,12.6,10.1,10.9,9,7.1,6.7,13.2,6.4,10.1
1301,"1151301","Amarante",18.9,23.9,18.9,29.5,25,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,7.3,4.9,10.9,8.3,9.8,7.7,5.7,4.7,18.8,4.8,29.9
1302,"1151302","Baião",51.6,51.5,52.4,50.9,50,48.6,43.6,41,39,35.2,34.6,39.3,76.6,79.3,29.5,81,40.8,42.4,37.2,26.4,20.8,13.4,20.4,16.3,18,14.7,11.7,10.6,32.5,10.6,28.5
304,"1150304","Cabeceiras de Basto",14.9,19,14.6,23.2,19.4,20.4,14.5,15.1,17.5,20.3,20.3,0,16.4,10.4,0.5,12.1,4.1,4.4,3.2,1.8,0.8,0,0.7,0,1,0.3,0,0,4.1,0,7.5
106,"1150106","Castelo de Paiva",13.5,14.8,13.3,17.5,15.6,15.9,11.3,10.8,11.7,13.5,12.5,0.9,9.3,7,1.7,10.1,5.3,6.5,6.7,5.8,5.5,4.3,8.7,7,7.6,6.3,5,4.3,14.1,4.3,18.5
305,"1150305","Celorico de Basto",27.3,30.2,27.2,36.7,33.8,36,11.4,13.5,16.5,11.6,12.1,0,8.9,5.5,0,13.6,5.8,7.4,6.8,11.6,10.2,7.4,15.3,11.9,13.5,10.8,8.3,7.3,25.4,7.5,38.8
1804,"1151804","Cinfães",35.8,35.5,35.6,35.9,35.3,34.8,35,32.7,29.3,27.6,27.5,29.6,61.1,54.1,20.1,55.6,28.5,30.4,27.7,20.4,16.6,11.4,18.5,15.1,16.1,13.4,10.5,10,29.4,9.7,23.7
1303,"1151303","Felgueiras",65.6,66,66.1,66.4,67.8,67.9,101,88,75.5,98.7,95.6,7.7,64.1,42.1,6.5,46.4,12.6,13.3,9.3,0,0,0,0,0,0,0,0,0,7.2,0,18.9
1305,"1151305","Lousada",61.2,63.6,61.1,71.8,64.5,62.7,48.4,41.3,41.2,40.4,34.4,3.8,17,10.9,1,12.1,5.2,5.3,4.3,3.9,2.8,1.3,2.8,2,2.6,2,1.3,0.7,5.5,1,9.1
1307,"1151307","Marco de Canaveses",46.5,46.8,46.9,46.5,45.9,45.4,43.6,40.3,37.5,34.4,33.7,20.5,60.5,42.8,15.3,48,25.5,28.6,27.3,22.5,19.5,14.8,25.6,21,22.3,18.5,14.9,14.1,27.7,13.7,21.5
1705,"1151705","Mondim de Basto",4.6,6.3,4.6,6.8,4.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",19.3,21.3,19.1,24,20.9,20.3,16.7,14.7,15.1,17,15,2.7,9.5,6.3,1.7,6.6,3.1,3.2,2.7,2,1.4,0.8,1.5,1.1,1.3,1.1,0.7,0.6,2.8,0.6,4.5
1310,"1151310","Paredes",60.5,60.3,60.5,59.4,58.5,57,55,52.1,50,44.6,43.4,14.9,50,33.2,10,34.2,16.3,16.8,14.2,10.1,7.6,4.4,7.1,5.6,6.4,5.1,3.7,3,12.7,3.1,20
1311,"1151311","Penafiel",61.2,60.6,61.8,60.9,59.7,59.3,57.5,55.1,51.3,48.7,47.1,13.6,54.1,35.4,8.9,36.6,16.7,17,13.7,10.8,7.7,3.8,6.4,4.7,6,4.7,3.2,2.1,12.1,2.5,19.8
1813,"1151813","Resende",30.5,31.4,31.4,30.9,31.3,30.1,34.3,32.6,30.8,31.7,31.3,55.7,80.8,83.4,50.6,89.7,62.5,56.4,51.4,31,31,27.6,38.8,34.3,33.8,29.7,24.2,23.4,19.2,14.4,14.4
1709,"1151709","Ribeira de Pena",9.9,11.4,9.9,12.1,9.4,8.1,4.6,3.5,2.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"1160104","Arouca",49.2,53.2,49.1,64.1,62.3,60.2,58.2,57.9,55,57.1,54.5,19.5,73.9,51.1,17.1,55.3,27.8,30.3,27.7,21.7,18,12.7,22.2,17.9,19.7,16,12.6,11.5,36.1,11.4,29.3
113,"1160113","Oliveira de Azeméis",36.2,39,36,45.6,42.1,43.2,25.3,24,26.5,25.4,24,0,16.5,10.9,0,15.1,1.8,2.6,1.6,0,0,0,0,0,0,0,0,0,5.9,0,12.8
109,"1160109","Santa Maria da Feira",25.7,28.8,25.6,32,27.1,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",8,9.2,7.7,10.7,9.3,8.9,2.9,3,3.4,3.5,2.7,0,0.7,0.2,0,1.5,0,0,0,0.8,0.5,0,0.8,0.5,0.9,0.6,0.2,0,2.3,0.1,4.1
1701,"1171701","Alijó",65.2,66.1,71.5,71.4,70.6,70.7,119.1,112.9,99.3,142.7,140.3,152.7,175.1,177.3,179.1,184.4,129.6,119.6,107.7,44.3,44.6,40.1,43.5,41.5,39.3,37.5,28.2,26.9,24.1,22.9,22.3
1801,"1171801","Armamar",0,0,0,0,0,0,0,0,0,0,0,0,53.2,54.5,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",48.1,48.8,48.9,50.2,53,50.7,52.2,53.2,52.7,53.1,36.3,55.3,78.3,78.8,59.6,61,41.6,60.5,58.7,37.9,36.6,35.4,34.1,34.1,34.8,36,37.9,19.7,20.3,20.3,19.7
404,"1170404","Freixo de Espada à Cinta",28.3,28.7,28.7,28.1,28.1,27.5,24.8,22.9,23.2,21.3,20.6,23.8,27.7,25.3,23.9,23.5,19.3,18.5,17.7,13.9,13.3,13.9,14.2,14.2,13.2,12.3,11,9.5,7.7,5.6,6
1805,"1171805","Lamego",43.8,44.4,44.5,44.8,23.3,43.7,22.1,22.2,21.6,21.4,21.6,21.6,45.2,44.5,43.8,43.7,21.7,41,38.6,18.1,16.9,31.5,29.3,29.3,29.8,30.9,32.5,16.9,17.4,17.4,16.9
1704,"1171704","Mesão Frio",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,1.6,2.6,2.6,2.3,2.4,1.5,1.5,1.5,0.7,0.7,0.9,1,1,0.8,0.8,0.7,0.6,0.4,0.3,0.3
1807,"1171807","Moimenta da Beira",40,40.5,40.6,42.3,45.2,43.8,45.7,47.1,47.1,47.9,49.7,127.3,218.1,192.5,194.4,199.3,116.6,113.3,137.5,53.4,51.7,100.1,120.9,120.9,123.2,102,107.5,111.5,86.3,86.4,83.8
1812,"1171812","Penedono",21.3,21.6,21.6,21.6,22.2,20.7,15.6,15.5,15,14.7,14.7,19.5,25.2,24.2,23.1,22.4,25.8,23.4,24.5,21.8,21.9,30.9,40.5,40.5,39.2,38.4,38.3,37.3,36.1,33.8,32.8
1708,"1171708","Peso da Régua",10.5,10.4,10.4,10.4,10.5,10.4,8.7,8.7,8.8,8.2,8.3,10.9,22,18.2,21.7,20.8,14.5,14.6,14.5,8.6,7.8,9.9,12.1,11.3,10.6,9.9,9.2,7.6,6,4.4,4.4
1710,"1171710","Sabrosa",20,19.7,20,19.5,20.2,20.6,30.8,30.9,31.4,33.4,33.9,75.9,116.2,111.6,107.2,102,201.6,209.9,217,273.4,240,255.9,304.7,267.3,319.4,215.9,300.2,230.7,163.4,94.4,94.9
1711,"1171711","Santa Marta de Penaguião",0,0,0,0.2,0,0,1.9,0,4,6.4,6.5,5.5,14.1,12.1,17,17.7,12.7,12.7,12.5,8,7.2,9,10.9,10.2,9.6,9,8.3,6.9,5.5,4.1,4
1815,"1171815","São João da Pesqueira",28.5,28.9,31.6,29.9,31.1,32.2,27.7,30,31.5,28.7,30.9,38.2,48.3,48.7,49.1,44,32.2,31.3,30.3,17.6,17.1,16.5,15.9,15.9,16.2,16.8,11.8,12.2,12.6,6.3,6.1
1818,"1171818","Sernancelhe",48.5,49.2,49.3,49.5,51.1,47.7,34.4,34.2,33.2,32.8,32.9,45.8,68.1,63.8,59.1,54.7,99,107.5,107.6,132.5,115.8,173,221.5,213.3,200.7,190.4,182.4,160.8,136.7,117.3,113.8
1819,"1171819","Tabuaço",24,24.4,24.4,24.3,24.9,23.2,19.9,19.6,18.9,15.4,15.4,21.2,28.2,25.2,25.3,22.6,19.7,22.3,21.5,17.8,17.2,19.3,21.2,18.5,18.9,16.7,14.7,12.2,9.4,9.5,9.2
1820,"1171820","Tarouca",29.3,29.7,29.7,31,22.2,32.2,56,46.2,46.3,47.2,49,100.3,147.9,134.7,121.5,109.9,97.7,94.3,103.7,87.3,71.9,103.3,131.9,120.9,112,104.4,97.7,76,52.3,39.3,38.1
409,"1170409","Torre de Moncorvo",58,55.7,55.8,55,55.7,56.8,53.3,52,54.5,52.7,49.3,62.3,77.8,72.8,69.9,68.2,144.7,147.9,150,197.6,174.8,204,223.8,196.4,234.4,158.8,206.4,159.3,113.7,66.7,67.2
410,"1170410","Vila Flor",38.4,39,39,37.9,44,39.7,38.5,36.9,39.2,37,35.5,50.4,62.2,57.4,56.8,52.9,40.7,42.4,40.2,27.6,26,27.5,28.6,25.7,26.2,24.1,22.2,19.8,17,13.6,13.2
914,"1170914","Vila Nova de Foz Côa",35.6,35.7,35.7,34.4,34.6,34.3,34.8,32.5,33,34.3,33.3,37.9,43,40.8,39.3,38,25.4,23.2,20.9,8.8,8.5,7.9,7.3,7.3,6.7,6.5,6.4,5.5,4.9,4.1,4
1714,"1171714","Vila Real",68,69,69.1,71.5,70.9,72,69.5,69.9,71.6,67,66.9,137.2,206.7,198.4,190.5,185.1,193.6,199.7,201.6,202.2,179.2,231.8,284.3,266.4,247.3,226.6,207.9,162.8,118.4,73.4,73.5
401,"1180401","Alfândega da Fé",45.1,44.6,44.6,43.4,43.4,43.7,47.4,45.8,46.6,43.4,42.3,67.8,105.8,99.9,95.1,91.6,55.6,55.2,54.6,25.9,24,25.3,26.3,25.3,23.8,22.7,20.5,18,13.9,11.6,11.3
1702,"1181702","Boticas",7.4,7.3,9.2,14.3,9.7,9.2,1.1,0,1.7,4.8,5.2,0,2.2,5.1,14,17.3,19.4,25.8,23.8,31.9,37.7,25.9,34.5,30.1,37.2,24.9,41.9,36.8,69.1,47.6,66
402,"1180402","Bragança",146.9,149,149.2,142.8,152.8,146.7,139.8,141.1,137.3,134.7,133.4,243.9,354.5,341.3,328.2,312.9,211.7,217.8,209.5,125.9,114.8,138.9,160.5,149.4,141.1,128.4,123,102.1,79.1,59.3,57.6
1703,"1181703","Chaves",234.9,235.3,244.5,246.4,258.2,260.3,227.5,235.5,237.5,237.2,237.2,171.6,440.4,361.9,504.9,515.2,489.3,563.3,469,498,512.8,310.9,356.3,311,382.6,256.8,425.5,376.3,347.7,218,217.9
405,"1180405","Macedo de Cavaleiros",125.7,122.9,123.2,120.2,120.5,122.8,106.5,97.9,100.3,90.8,87.6,120.3,155.5,149.7,139.2,135.2,218.9,222.5,222.4,271.2,241.3,314,387.7,362.4,336.9,302.3,285.9,223.5,165.5,103,104.7
406,"1180406","Miranda do Douro",104,102.1,102.2,98,96.2,95.5,102.1,100.3,99.2,103.8,102.7,127.5,155.8,150.6,145.5,146.6,163.8,148.5,133.9,141.4,130.8,149.1,167.6,158.6,149.5,138.9,129.7,110.5,92.6,78.5,76.1
407,"1180407","Mirandela",132.3,129.9,134.4,131,131.4,130.3,145.4,140,140.9,140.4,139.1,158.9,328.8,291.8,299.5,286.6,346.1,354.7,356.4,376.7,332.6,260.1,299.8,261.5,318.3,212.9,350.2,307.2,220.5,134.8,134.5
408,"1180408","Mogadouro",137.3,139.3,139.5,133.5,135,135.1,145.3,138.3,142.9,134.5,132.6,223,320.3,300.9,289.1,275.6,235.7,239.3,237.7,193.5,173.1,217.6,265.5,251.8,233.4,212.5,193.4,153.2,114.5,70.9,74.1
1706,"1181706","Montalegre",0,0,0,0,0,0,0,0,0,7.4,11.2,0,11.6,13.4,29.9,32.7,32.5,40.6,34.1,41.8,47.3,28.6,37.6,32.3,41.9,27.7,49.2,42.3,79.9,54.5,76.1
1707,"1181707","Murça",53.8,54.6,54.6,53.2,55.8,55.6,41.4,39.3,41.3,36.2,34.3,48,61.9,59.2,56.4,54.3,44.8,44.5,43.5,35,32,35.9,39.3,38.3,35.9,32.8,29.9,25,21,16,15.6
1712,"1181712","Valpaços",200.8,203.6,204,203.8,209.2,208.8,178,174.6,173.8,168.3,165.5,261.6,351.4,330.8,319,311.3,238.6,240.9,239.7,174.9,162.7,188.1,216.3,203.6,190.2,179.1,165,137,106.1,75.8,73.6
1713,"1181713","Vila Pouca de Aguiar",71.4,71.5,72.5,71.3,72.7,73.4,85,51.6,78.2,84.9,87.1,25.1,56.6,47.9,68.3,70.6,68.6,80.6,68.1,76,80.1,50.8,59.6,52.3,63.9,42.4,70,61.9,113.6,73.3,73.1
411,"1180411","Vimioso",75.6,72.1,72.3,72.9,70.9,71.1,67.6,63.2,61.6,56.7,57.3,70.5,87.6,82.9,78.3,74.7,66.2,68.2,61.2,58.6,52.1,61.2,69.3,65.7,63.2,57.7,52.7,42,34.8,26.1,25.3
412,"1180412","Vinhais",91.9,90.7,93.4,91.5,90.1,91,85,83.3,82.3,82.4,79.3,127.1,172.9,162.7,157.1,149.2,136.5,137.3,132.7,117.4,105.8,126,148.5,139.2,130.1,119.9,111,90.9,69.1,49.7,48.3
