Main_crop,Crop,Crop_product,Roughage,FRAC,Source
Pastures,Extensive_pasture,Harvest,Fresh_grass,0.15,GLEAMS
Pastures,Extensive_pasture,Residues,Hay,0.2,GLEAMS
Forage,Annual_mixtures,Harvest,Annual_mixtures,0.05,GLEAMS
Forage,forage_maize,Harvest,forage_maize,0.1,GLEAMS
Forage,forage_sorghum,Harvest,forage_sorghum,0.05,GLEAMS
Forage,other_forage,Harvest,other_forage,0.05,GLEAMS
Forage,forage_maize,Residues,forage_maize,0.02,GLEAMS
Forage,forage_sorghum,Residues,forage_sorghum,0.01,GLEAMS
Forage,other_forage,Residues,other_forage,0.01,GLEAMS
Forage,forage_sorghum,Residues,forage_sorghum,0.01,GLEAMS
